AREA,COUNTRY,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM,ELEV_SRTM_PRED,LAT,LONGITUDE,LONG_NAME,MATTVEG,MER1990_40,MER1995_40,MER2000_40,MER2005_40,NEWCOUNTRYID,POPGPW_1990_40,POPGPW_1995_40,POPGPW_2000_40,POPGPW_2005_40,PPP1990_40,PPP1995_40,PPP2000_40,PPP2005_40,PREC_NEW,PRECMAX,PRECMIN,PRECSD,PRECAVNEW80_08,PRECSDNEW80_08,QUALITY,RIG_xi0710,ROUGH,SOIL_UNIT,TEMP_NEW,TEMPAV_8008,TEMPMAX,TEMPMIN,TEMPSD,TEMPSD80_08,QUALITY_REVISION,DATE OF LAST,,,,,,,,,
7773.164,Canada,143.4104,143.4104,143.4104,143.4104,205771.2,833294.2,143410.4,858713,411.5679,411.5679,51,-62,Canada,8,0,0,0,0,124,0,0,0,0,0,0,0,0,995.7,110.52,61.91,17.57,861.6267241,123.2295122,0.5,1,0.05,141,-0.78,-0.663577517,13.28,-17.34,10.94,1.072614169,3,2/1/11,,,,,,,,,
7773.164,Canada,114.2604,114.2604,114.2604,114.2604,263858,887702.5,114260.4,914005.7,389.6089,389.6089,51,-61,,8,0,0,0,0,124,0,0,0,0,0,0,0,0,1147.2,113.29,66.03,17.82,1068.4181,120.8337511,0.5,1,0.03,141,-0.68,-0.729525903,12.91,-16.8,10.6,1.045266198,3,2/1/11,,,,,,,,,
7605.392,Canada,320.0106,320.0106,320.0106,209.7864,209786.4,645935.2,320010.6,648564.4,633.2488,633.2488,52,-70,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,857.3,125.59,43.39,27.51,828.5362069,140.8203049,1,1,0.05,141,-3.38,-3.656465552,13.44,-22.69,13.05,1.118236585,3,2/1/11,,,,,,,,,
7605.392,Canada,283.0884,283.0884,283.0884,145.3123,145312.3,659120.1,283088.4,666131.7,650.5082,650.5082,52,-69,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,883.3,129.29,50.01,25.43,902.9439655,106.3598444,0.5,1,0.06,141,-3.68,-3.012428172,13.43,-22.12,12.79,1.043762366,3,2/1/11,,,,,,,,,
7435.375,Canada,411.6434,411.6434,411.6434,215.8604,215860.4,756157.8,411643.4,757551.2,601.6494,601.6494,53,-70,,14,0,0,0,0,124,0,0,0,0,0,0,0,0,813,116.46,39.6,26.98,784.4801724,101.8186794,1,1,0.03,141,-4.13,-4.139870793,12.96,-23.53,13.23,1.144275467,3,2/1/11,,,,,,,,,
7435.375,Canada,384.0539,384.0539,384.0539,154.9459,154945.9,767240.2,384053.9,772363,605.0484,605.0484,53,-69,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,813.1,117.5,43.65,24.46,804.9612069,99.59848267,1,1,0.02,2,,-3.762356241,12.99,-23.11,13.07,1.125094888,3,2/1/11,,,,,,,,,
7263.159,Canada,511.0748,511.0748,511.0748,265.743,265743,866670.8,511074.8,867140.9,542.5946,542.5946,54,-70,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,756.1,105.6,37.23,25,770.0387931,112.5584702,1,1,0.03,133,-4.55,-4.151508655,12.29,-24.22,13.31,1.297240632,3,2/1/11,,,,,,,,,
7263.159,Canada,489.4851,489.4851,489.4851,220.0254,220025.4,876171.9,489485.1,879863,576.5257,576.5257,54,-69,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,757.3,107.13,40.64,22.95,768.7396517,120.3523236,1,1,0.02,2,-4.75,-4.347413828,12.22,-24.08,13.22,1.264137108,3,2/1/11,,,,,,,,,
7088.785,Canada,614.5502,614.5502,614.5502,345.4655,345465.5,977382.1,614550.3,977136.7,488.8915,488.8915,55,-70,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,661,94.99,35.18,22.37,669.412069,99.84157867,1,1,0.08,2,-5.35,-4.95862069,11.68,-24.49,13.28,1.323805289,3,2/1/11,,,,,,,,,
7088.785,Canada,597.0704,597.0704,597.0704,312.3668,312366.8,985652.3,597070.4,988224,448.8768,448.8768,55,-69,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,672.7,92.04,35.16,20.96,680.7913793,109.7575397,1,1,0.09,2,-4.23,-3.646911,12.15,-23.84,13.19,1.304103249,3,2/1/11,,,,,,,,,
