# Column 1: Latitude
# Column 2: Longitude
# Column 3: Gamma linear coefficient
# Column 4: Gamma quadratic coefficient
# Column 5: rho
            35.0           139.0  0.004534662059 -0.000001051779  0.287607357328
            34.0           135.0  0.004540114260 -0.000001043655  0.287563845102
            40.0           -74.0  0.004536719023 -0.000000852245  0.217906284142
            48.0             2.0  0.004871407965 -0.000001250194  0.212374661636
            51.0            -1.0  0.004872858525 -0.000001499039  0.209186034087
            40.0           -75.0  0.004827327813 -0.000000953012  0.185152721680
            55.0            37.0  0.005952572112 -0.000001395034  0.262723991794
            19.0          -100.0  0.001435036815  0.000000205154  0.172844930209
           -24.0           -47.0  0.001923554630 -0.000000128007  0.183291789525
            45.0             9.0  0.004622434009 -0.000001039476  0.234040152987
            34.0          -119.0  0.003865709789 -0.000000730434  0.137934275838
            41.0           -88.0  0.005373771257 -0.000001208170  0.173233428863
            35.0           136.0  0.004835826074 -0.000001170843  0.294251489843
            43.0           -80.0  0.005915093454 -0.000001270637  0.165297356357
            37.0          -123.0  0.003889876823 -0.000000859260  0.201347530015
            42.0           -72.0  0.006079467890 -0.000001412534  0.237437304194
           -35.0           -59.0  0.001238429198 -0.000000062217  0.066489976268
            33.0          -118.0  0.003718756897 -0.000000749660  0.148791963595
            51.0             7.0  0.004739660965 -0.000001257965  0.211409291233
            51.0             6.0  0.004729666191 -0.000001270204  0.223128078276
            42.0           -84.0  0.005669188095 -0.000001276114  0.146592760923
            33.0          -119.0  0.003679750975 -0.000000784195  0.156819015083
            22.0           114.0  0.002531036620 -0.000000323442  0.241065328548
            53.0            -3.0  0.004918141046 -0.000001421002  0.413995318307
            36.0           139.0  0.004852733488 -0.000001153289  0.283104881686
            40.0            -4.0  0.004371396073 -0.000000867524  0.232891757972
            33.0           130.0  0.004447325072 -0.000001023280  0.277964230864
            37.0           126.0  0.004392443690 -0.000000702550  0.331064182278
            29.0           -96.0  0.002946645557 -0.000000463785  0.172920459340
            50.0             8.0  0.004767230486 -0.000001239074  0.193130658623
            41.0           -74.0  0.005313887561 -0.000001100782  0.174958541131
            49.0             8.0  0.004784583225 -0.000001231111  0.183753908314
            52.0            13.0  0.005004408217 -0.000001228604  0.238156814833
            52.0            -2.0  0.004875813917 -0.000001455549  0.300876966000
            39.0           -76.0  0.004585534583 -0.000000882519  0.181068233466
            40.0           -76.0  0.005117936603 -0.000001053779  0.168384681639
            52.0             4.0  0.004889633897 -0.000001318318  0.339873233765
            13.0           100.0  0.002645994323 -0.000000334723  0.226406029387
            47.0          -123.0  0.004615779312 -0.000000975345  0.240439822609
            50.0             4.0  0.004763626317 -0.000001281719  0.223271425062
            37.0           127.0  0.003951701560 -0.000000455922  0.352577808481
            41.0             2.0  0.004411541771 -0.000000970953  0.279609686837
            48.0             9.0  0.004860036510 -0.000001208381  0.191826595415
            48.0            11.0  0.004824310112 -0.000001150787  0.218041939841
            38.0           -78.0  0.004448973577 -0.000000836913  0.174943692463
            53.0            -2.0  0.004837229913 -0.000001405494  0.357282574053
            39.0           -77.0  0.004736460924 -0.000000936014  0.173899284167
            33.0           -85.0  0.002909416493 -0.000000322019  0.170012447489
            35.0           140.0  0.004489341577 -0.000001055173  0.292165180607
            51.0             0.0  0.004913896678 -0.000001360480  0.365872485062
            41.0            12.0  0.004787442457 -0.000001111963  0.276954312991
            41.0           -82.0  0.005487775140 -0.000001209197  0.154692926968
           -23.0           -44.0  0.001830915043 -0.000000074617  0.209989378553
            32.0           -97.0  0.003290531533 -0.000000575636  0.121619981713
            37.0          -122.0  0.004024023881 -0.000000837812  0.180815366617
            39.0           -85.0  0.004790912819 -0.000000979480  0.187887719035
            38.0           -91.0  0.004508573094 -0.000000920072  0.164239564006
            34.0          -118.0  0.003899460764 -0.000000715062  0.138266408326
            45.0           -74.0  0.006202265563 -0.000001258979  0.194816236321
            26.0           -81.0  0.002766144861 -0.000000485099  0.220029258162
            35.0           128.0  0.004523961017 -0.000000915921  0.302518874178
            -7.0           106.0  0.002022129737 -0.000000240864  0.221546408309
            41.0           -73.0  0.005387085520 -0.000001158172  0.207427575699
            34.0           137.0  0.004301720103 -0.000000954682  0.282869688608
            47.0             8.0  0.004815339434 -0.000001182579  0.191556798268
            34.0           134.0  0.004707837902 -0.000001114563  0.289415904715
            50.0             7.0  0.004720487700 -0.000001244291  0.194947746090
            34.0           133.0  0.004696467459 -0.000001100570  0.289448805685
             1.0           103.0  0.001903270748 -0.000000233217  0.204322897667
            48.0            16.0  0.004921518932 -0.000001151065  0.176467010022
            35.0           138.0  0.004624672753 -0.000001083866  0.290091817555
            45.0             8.0  0.004640685193 -0.000001055769  0.228468671256
            51.0             4.0  0.004764143403 -0.000001289815  0.272212635746
            53.0            10.0  0.005013189174 -0.000001259547  0.273217720017
