Column 1: year (1 = 1990)
Column 2: GDP with population change and climate change
Column 3: GDP without population change and climate change
Column 4: GDP with population change and without climate change
Column 5: GDP without population change and without climate change
Column 6: GDP/capita with population change and climate change
Column 7: GDP/capita without population change and climate change
Column 8: GDP/capita with population change and without climate change
Column 9: GDP/capita without population change and without climate change

                        Y,Y              N,Y           Y,N             N,N           Y,Y             N,Y          Y,N          N,N
                51    48244.44872    34913.62029    51388.38450    36096.76829   0.005355061   0.006654646   0.005704033   0.006880157
                52    48273.36511    34876.84840    51539.74621    36096.78721   0.005326156   0.006647637   0.005686547   0.006880161
                53    48295.41305    34839.76735    51685.60242    36096.80451   0.005297556   0.006640569   0.005669428   0.006880164
                54    48311.47778    34802.40268    51826.75285    36096.82032   0.005269350   0.006633447   0.005652762   0.006880167
                55    48319.29906    34764.78149    51960.74981    36096.83477   0.005241276   0.006626276   0.005636271   0.006880170
                56    48319.67808    34726.93246    52088.20339    36096.84798   0.005213478   0.006619062   0.005620085   0.006880172
                57    48312.93743    34688.88582    52209.25215    36096.86005   0.005186022   0.006611810   0.005604262   0.006880175
                58    48298.84123    34650.67330    52323.55821    36096.87109   0.005158889   0.006604527   0.005588777   0.006880177
                59    48277.32377    34612.32792    52430.93034    36096.88118   0.005132119   0.006597218   0.005573669   0.006880179
                60    48248.84222    34573.88410    52531.70136    36096.89040   0.005105751   0.006589891   0.005558969   0.006880181
                61    48212.69683    34535.37766    52624.92632    36096.89883   0.005079710   0.006582551   0.005544584   0.006880182
                62    48170.72876    34496.84557    52712.33602    36096.90653   0.005054207   0.006575207   0.005530725   0.006880184
                63    48122.43002    34458.32587    52793.21461    36096.91357   0.005029155   0.006567865   0.005517287   0.006880185
                64    48067.94750    34419.85745    52867.44670    36096.92001   0.005004553   0.006560533   0.005504249   0.006880186
                65    48006.96459    34381.47993    52934.82959    36096.92589   0.004980319   0.006553218   0.005491543   0.006880187
                66    47939.95079    34343.23347    52995.39958    36096.93127   0.004956511   0.006545928   0.005479194   0.006880188
                67    47867.57228    34305.15858    53049.72856    36096.93619   0.004933096   0.006538671   0.005467154   0.006880189
                68    47791.44712    34267.29588    53099.23711    36096.94068   0.004910200   0.006531454   0.005455535   0.006880190
                69    47712.96024    34229.68592    53145.33601    36096.94479   0.004887921   0.006524286   0.005444437   0.006880191
                70    47632.52935    34192.36895    53188.33206    36096.94855   0.004866249   0.006517173   0.005433843   0.006880192
                71    47548.66606    34155.38468    53226.39296    36096.95198   0.004845004   0.006510123   0.005423540   0.006880192
                72    47462.96973    34118.77209    53261.08448    36096.95511   0.004824272   0.006503145   0.005413609   0.006880193
                73    47376.73121    34082.56917    53293.67187    36096.95798   0.004804146   0.006496245   0.005404142   0.006880193
                74    47290.08478    34046.81279    53324.16084    36096.96060   0.004784586   0.006489429   0.005395085   0.006880194
                75    47203.20172    34011.53845    53352.72109    36096.96300   0.004765585   0.006482706   0.005386433   0.006880194
                76    47115.36220    33976.78005    53378.30504    36096.96519   0.004747045   0.006476081   0.005378059   0.006880195
                77    47027.73958    33942.56971    53402.11644    36096.96719   0.004729067   0.006469560   0.005370068   0.006880195
                78    46941.51073    33908.93763    53425.36644    36096.96902   0.004711738   0.006463150   0.005362552   0.006880196
                79    46856.53507    33875.91201    53447.63073    36096.97069   0.004695054   0.006456855   0.005355486   0.006880196
                80    46771.55334    33843.51887    53467.62917    36096.97222   0.004678885   0.006450681   0.005348740   0.006880196
                81    46687.86802    33811.78187    53486.76723    36096.97362   0.004663357   0.006444632   0.005342457   0.006880196
                82    46604.18168    33780.72232    53503.37243    36096.97490   0.004648329   0.006438712   0.005336459   0.006880197
                83    46522.21740    33750.35911    53519.50861    36096.97606   0.004633993   0.006432924   0.005330980   0.006880197
                84    46440.13533    33720.70870    53532.76271    36096.97713   0.004620168   0.006427273   0.005325789   0.006880197
                85    46358.71567    33691.78513    53544.24390    36096.97811   0.004606929   0.006421760   0.005320996   0.006880197
                86    46277.92245    33663.59994    53553.68978    36096.97900   0.004594296   0.006416388   0.005316607   0.006880197
                87    46200.03172    33636.16232    53563.57075    36096.97981   0.004582474   0.006411158   0.005312847   0.006880198
                88    46122.43667    33609.47906    53571.04075    36096.98056   0.004571211   0.006406072   0.005309445   0.006880198
                89    46044.43926    33583.55465    53575.46975    36096.98124   0.004560445   0.006401131   0.005306351   0.006880198
                90    45968.19861    33558.39139    53579.08359    36096.98186   0.004550390   0.006396335   0.005303792   0.006880198
                91    45891.98070    33533.98948    53580.02707    36096.98243   0.004540854   0.006391684   0.005301560   0.006880198
                92    45816.78096    33510.34711    53579.33657    36096.98295   0.004531911   0.006387177   0.005299735   0.006880198
                93    45745.05852    33487.46056    53579.82011    36096.98343   0.004523803   0.006382815   0.005298595   0.006880198
                94    45672.34094    33465.32439    53576.62763    36096.98386   0.004516033   0.006378596   0.005297601   0.006880198
                95    45601.06501    33443.93154    53572.31403    36096.98426   0.004508841   0.006374518   0.005297004   0.006880198
                96    45530.26665    33423.27345    53565.96937    36096.98462   0.004502096   0.006370581   0.005296677   0.006880199
                97    45459.15007    33403.34017    53556.78117    36096.98495   0.004495713   0.006366781   0.005296534   0.006880199
                98    45390.43355    33384.12057    53547.81220    36096.98526   0.004489951   0.006363118   0.005296866   0.006880199
                99    45323.32604    33365.60240    53538.04807    36096.98553   0.004484684   0.006359588   0.005297520   0.006880199
               100    45259.35550    33347.77246    53529.26722    36096.98579   0.004480076   0.006356190   0.005298688   0.006880199
               101    45194.88656    33330.61663    53517.68795    36096.98602   0.004475746   0.006352920   0.005299970   0.006880199
               102    45130.94727    33314.12006    53504.41952    36096.98623   0.004471789   0.006349776   0.005301473   0.006880199
               103    45069.71547    33298.26725    53491.88801    36096.98642   0.004468426   0.006346754   0.005303440   0.006880199
               104    45009.17459    33283.04215    53478.07738    36096.98660   0.004465446   0.006343852   0.005305662   0.006880199
               105    44949.61867    33268.42830    53463.06570    36096.98676   0.004462899   0.006341067   0.005308171   0.006880199
               106    44890.92810    33254.40889    53446.86538    36096.98691   0.004460765   0.006338395   0.005310960   0.006880199
               107    44832.29822    33240.96688    53428.79582    36096.98704   0.004458981   0.006335833   0.005313981   0.006880199
